course_id,course_title,url,price,num_subscribers,num_reviews,num_lectures,level,Rating,content_duration,published_date,subject
2779762,"DevOps, CI/CD(Continuous Integration/Delivery) for Beginners",https://www.udemy.com/course/ci-cd-devops/,1099.99,122673,44428,13,Beginner Level,4.6407285,1.0,2020-01-26,CI/CD
1178124,Complete C# Unity Game Developer 3D (Updated To Unity 6),https://www.udemy.com/course/unitycourse2/,1699.99,231515,43743,395,All Levels,4.7131195,57.5,2017-04-12,C#
1219332,Artificial Intelligence A-Z 2024: Build 7 AI + LLM & ChatGPT,https://www.udemy.com/course/artificial-intelligence-az/,2499.99,301508,43016,129,All Levels,4.4280643,15.5,2017-05-17,Artificial Intelligence
836376,Python for Absolute Beginners,https://www.udemy.com/course/python-for-absolute-beginners-u/,2099.99,270439,42656,112,Beginner Level,4.5166116,4.5,2016-04-30,Python
1436092,React Native - The Practical Guide [2024],https://www.udemy.com/course/react-native-the-practical-guide/,2499.99,235187,41692,290,All Levels,4.664452,28.5,2017-11-16,React Native
694982,Rest API Testing (Automation) from Scratch-Rest Assured Java,https://www.udemy.com/course/rest-api-automation-testing-rest-assured/,1699.99,182534,40525,151,All Levels,4.601318,24.5,2015-12-11,REST Assured
1743420,JavaScript Basics for Beginners,https://www.udemy.com/course/javascript-basics-for-beginners/,1599.99,158596,39466,104,Beginner Level,4.531636,6.5,2018-06-11,JavaScript
1309202,Go: The Complete Developer's Guide (Golang),https://www.udemy.com/course/go-the-complete-developers-guide/,1299.99,179759,38761,91,All Levels,4.5448074,9.0,2017-07-31,Go (programming language)
1120038,Learn Jira with real-world examples 2024 (+Confluence bonus),https://www.udemy.com/course/the-complete-guide-to-jira-with-real-world-examples/,1699.99,184377,38444,82,All Levels,4.5567946,10.5,2017-02-19,JIRA
383576,"C# Intermediate: Classes, Interfaces and OOP",https://www.udemy.com/course/csharp-intermediate-classes-interfaces-and-oop/,1199.99,165559,38394,44,Intermediate Level,4.480148,6.0,2015-01-02,Object Oriented Programming
1917546,Master the Coding Interview: Data Structures + Algorithms,https://www.udemy.com/course/master-the-coding-interview-data-structures-algorithms/,1699.99,234667,37487,264,All Levels,4.6868258,20.0,2018-09-17,Coding Interview
269394,ISTQB Foundation Level (CTFL) V4.0 + Practice Exams - 2024,https://www.udemy.com/course/certified-tester-foundation-level-ctfl/,1699.99,129315,37159,181,All Levels,4.5025816,13.5,2014-07-27,ISTQB Certified Tester Foundation Level (CTFL)
1467808,C Programming For Beginners - Master the C Language,https://www.udemy.com/course/c-programming-for-beginners-/,1799.99,170454,37073,150,All Levels,4.436673,25.5,2017-12-12,C (programming language)
405926,HTML and CSS for Beginners - Build a Website & Launch ONLINE,https://www.udemy.com/course/html-and-css-for-beginners-crash-course-learn-fast-easy/,1499.99,370252,36786,81,All Levels,4.5369253,9.0,2015-01-28,CSS
299398,Relational Database Design,https://www.udemy.com/course/relational-database-design/,1199.99,96020,36229,32,All Levels,4.3667603,1.5,2014-09-13,Database Design
806922,The Complete ASP.NET MVC 5 Course,https://www.udemy.com/course/the-complete-aspnet-mvc-5-course/,2999.99,139455,34557,139,All Levels,4.404086,7.5,2016-03-29,ASP.NET MVC
1463348,Modern JavaScript From The Beginning 2.0 (2024),https://www.udemy.com/course/modern-javascript-from-the-beginning/,1599.99,121086,34550,265,All Levels,4.720987,36.5,2017-12-08,JavaScript
